"CANDIDATE","NAME"
1,"Jeffrey D. Ullman"
2,"Michael Stonebraker"
3,"Stefano Ceri"
4,"Giuseppe De Giacomo"
5,"Dieter Fensel"
6,"Frank van Harmelen"
7,"David Maier"
8,"Geoffrey E. Hinton"
9,"Alon Y. Halevy"
10,"David J. DeWitt"
11,"Christian S. Jensen"
12,"Ahmed K. Elmagarmid"
13,"Deborah L. McGuinness"
14,"Hector Garcia-Molina"
15,"Amit P. Sheth"
16,"Sushil Jajodia"
17,"Steffen Staab"
