"COMMUNITY_1","COMMUNITY2","DIFFERENCE"
"ICWE","ICWE","100.0"
"ICWE","ICPS","64.0"
"ICWE","BPM","78.0"
"ICPS","ICWE","NaN"
"ICPS","ICPS","100.0"
"ICPS","BPM","81.0"
"BPM","ICWE","NaN"
"BPM","ICPS","NaN"
"BPM","BPM","100.0"
