"COMMUNITIES","NAME"
"a","[ijcai-aaai]"
"b","[icc-globecom]"
"c","[soda-isaac]"
"d","[icwn-itng]"
"e","[cav-tacas]"
"f","[ilp]"
"g","[sat]"
"h","[edoc]"
"i","[er-bpm]"
"l","[w4a]"
"m","[asiams]"
