"COMMUNITIES","NAME"
"a","Assistant Professor"
"b","Associate Professor"
"c","Lecturer"
"d","PhD Student"
"e","Postdoctoral Researcher"
"f","Professor"
"g","Programmer"
"h","Research Assistant"
"i","Research Engineer"
"l","Senior Lecturer"
"m","Senior Researcher"
