"VOTER","COMMUNITY","NUMBERS_OF_PUBBL"
1,"m",1
2,"d",1
2,"h",1
3,"c",1
3,"a",1
4,"i",1
4,"g",1
5,"l",1
5,"b",1
6,"e",1
7,"f",1
8,"e",1
9,"d",1
9,"h",1
10,"e",1
11,"l",1
11,"b",1
12,"f",1
13,"c",1
13,"a",1
14,"c",1
14,"a",1
15,"d",1
15,"h",1
16,"d",1
16,"h",1
17,"f",1
18,"i",1
18,"g",1
19,"d",1
19,"h",1
20,"e",1
21,"e",1
